Filename,ClassId,ClassIdActual
0,12,12
1,9,9
2,38,38
3,4,4
4,39,39
5,1,1
6,35,35
7,38,38
8,9,9
9,13,29
10,14,14
11,25,25
12,15,15
13,12,12
14,30,38
15,12,38
16,1,1
17,12,12
18,4,4
19,12,12
20,15,15
21,13,13
22,2,2
23,13,13
24,3,25
25,2,2
26,38,18
27,25,25
28,38,38
29,1,1
30,16,32
31,2,2
32,25,25
33,1,1
34,6,4
35,17,17
36,8,8
37,5,5
38,35,35
39,38,38
40,18,10
41,33,39
42,13,13
43,38,38
44,38,38
45,13,13
46,14,14
47,35,35
48,15,9
49,2,2
50,12,12
51,20,45
52,17,17
53,15,15
54,10,10
55,3,43
56,22,46
57,5,5
58,6,6
59,15,5
60,5,5
61,10,10
62,15,15
63,8,8
64,10,10
65,27,27
66,25,25
67,11,11
68,35,35
69,35,38
70,9,9
71,2,2
72,38,38
73,5,5
74,24,24
75,17,44
76,8,8
77,11,26
78,12,12
79,2,2
80,11,25
81,26,26
82,3,3
83,13,13
84,38,38
85,8,8
86,4,4
87,4,4
88,7,7
89,38,18
90,10,19
91,7,7
92,10,10
93,18,18
94,18,7
95,23,23
96,12,12
97,14,14
98,30,30
99,15,15
100,4,4
101,10,10
102,9,46
103,10,10
104,17,8
105,28,28
106,10,4
107,31,31
108,25,25
109,17,17
110,25,25
111,4,4
112,4,4
113,16,3
114,38,38
115,38,38
116,40,29
117,10,10
118,17,3
119,11,47
120,33,33
121,4,4
122,31,31
123,37,37
124,2,2
125,22,22
126,12,43
127,21,21
128,11,2
129,13,15
130,1,1
131,9,9
132,8,8
133,9,9
134,8,44
135,13,13
136,23,23
137,10,47
138,3,28
139,7,7
140,42,8
141,10,10
142,13,13
143,6,6
144,14,14
145,3,3
146,4,4
147,28,28
148,19,23
149,11,11
150,4,4
151,12,44
152,1,1
153,4,4
154,21,12
155,9,2
156,38,38
157,38,38
158,0,0
159,38,38
160,9,9
161,1,1
162,13,13
163,5,5
164,10,10
165,9,9
166,34,34
167,17,12
168,12,10
169,14,14
170,22,14
171,7,7
172,13,13
173,38,38
174,10,10
175,2,2
176,14,14
177,8,8
178,40,40
179,10,10
180,11,12
181,1,1
182,9,9
183,9,9
184,2,1
185,35,35
186,5,5
187,4,4
188,2,2
189,8,8
190,38,38
191,11,11
192,11,30
193,31,31
194,17,36
195,1,9
196,32,6
197,38,38
198,13,13
199,12,12
200,13,8
201,11,18
202,12,33
203,13,13
204,25,25
205,13,28
206,12,12
207,23,23
208,3,3
209,23,35
210,17,17
211,35,35
212,13,18
213,3,3
214,15,44
215,38,38
216,13,13
217,26,18
218,9,9
219,12,12
220,25,25
221,16,9
222,4,4
223,23,23
224,29,29
225,26,26
226,41,41
227,5,7
228,13,13
229,38,38
230,16,5
231,13,13
232,14,14
233,13,38
234,1,1
235,42,10
236,4,4
237,5,5
238,18,30
239,8,8
240,24,24
241,7,3
242,11,11
243,35,35
244,11,11
245,13,13
246,25,25
247,38,44
248,15,15
249,13,13
250,12,12
251,20,20
252,16,11
253,8,8
254,25,25
255,9,9
256,12,12
257,33,33
258,38,38
259,34,34
260,14,43
261,2,2
262,2,2
263,19,21
264,3,43
265,23,23
266,25,25
267,4,4
268,13,6
269,5,5
270,25,25
271,38,26
272,18,45
273,19,19
274,18,18
275,10,10
276,31,31
277,25,27
278,2,2
279,24,24
280,16,10
281,35,34
282,7,7
283,7,7
284,16,16
285,3,3
286,10,2
287,38,37
288,11,11
289,29,18
290,35,35
291,13,13
292,9,9
293,2,2
294,6,4
295,20,2
296,3,3
297,17,17
298,25,25
299,39,39
300,14,14
301,7,7
302,17,13
303,5,5
304,25,25
305,15,15
306,8,8
307,33,33
308,12,12
309,16,16
310,5,7
311,21,21
312,25,9
313,8,8
314,35,35
315,25,25
316,18,18
317,26,26
318,13,13
319,5,5
320,12,12
321,33,33
322,42,42
323,18,26
324,4,4
325,8,8
326,28,28
327,15,15
328,5,5
329,31,47
330,6,6
331,8,8
332,10,10
333,1,1
334,9,9
335,26,25
336,31,31
337,21,21
338,38,38
339,12,12
340,10,10
341,35,2
342,35,35
343,35,35
344,38,38
345,26,26
346,3,3
347,1,1
348,3,3
349,13,4
350,38,38
351,11,11
352,34,34
353,20,11
354,17,38
355,34,34
356,12,12
357,18,5
358,1,1
359,13,13
360,38,38
361,5,5
362,13,13
363,38,38
364,39,39
365,23,23
366,39,39
367,5,10
368,2,2
369,19,19
370,17,12
371,16,19
372,7,38
373,26,26
374,2,43
375,26,26
376,12,12
377,9,9
378,40,40
379,35,2
380,22,22
381,3,3
382,1,1
383,41,16
384,33,33
385,3,9
386,32,46
387,18,1
388,25,25
389,30,30
390,18,28
391,2,26
392,8,8
393,34,34
394,5,5
395,16,16
396,10,10
397,13,13
398,35,5
399,11,11
400,12,12
401,8,8
402,34,34
403,11,11
404,13,13
405,25,25
406,30,30
407,18,9
408,17,39
409,18,28
410,12,34
411,20,25
412,1,1
413,18,18
414,1,1
415,20,30
416,7,7
417,17,17
418,1,5
419,9,9
420,33,33
421,35,35
422,3,8
423,10,1
424,23,11
425,8,8
426,29,29
427,12,12
428,12,2
429,40,1
430,11,11
431,11,11
432,4,4
433,13,13
434,25,25
435,4,4
436,38,11
437,13,33
438,9,9
439,11,11
440,26,26
441,27,27
442,25,25
443,2,2
444,11,30
445,21,25
446,11,11
447,2,2
448,38,38
449,1,1
450,25,26
451,1,1
452,10,10
453,41,41
454,3,43
455,2,2
456,24,24
457,13,13
458,25,25
459,10,10
460,18,18
461,38,38
462,40,40
463,11,11
464,1,1
465,25,25
466,35,35
467,12,12
468,6,3
469,18,10
470,3,3
471,12,12
472,15,17
473,15,15
474,18,10
475,10,5
476,3,3
477,10,10
478,8,8
479,38,38
480,10,38
481,1,33
482,31,31
483,12,12
484,5,8
485,10,10
486,10,9
487,2,2
488,42,42
489,11,33
490,2,2
491,11,12
492,1,1
493,13,13
494,1,1
495,31,31
496,12,12
497,10,10
498,7,7
499,11,11
500,4,4
501,15,15
502,12,12
503,38,38
504,25,25
505,35,10
506,22,22
507,9,47
508,12,12
509,3,3
510,12,12
511,3,3
512,2,2
513,38,38
514,14,44
515,30,7
516,15,15
517,37,15
518,19,19
519,38,38
520,12,12
521,18,18
522,20,25
523,7,7
524,1,1
525,9,9
526,5,5
527,3,8
528,8,8
529,11,11
530,25,25
531,9,9
532,31,31
533,13,13
534,26,18
535,6,6
536,11,11
537,30,45
538,8,8
539,32,29
540,5,2
541,39,39
542,16,4
543,31,31
544,12,12
545,13,13
546,5,5
547,2,2
548,25,25
549,2,2
550,35,35
551,15,15
552,7,7
553,11,11
554,2,2
555,1,1
556,14,44
557,5,5
558,38,38
559,42,3
560,12,8
561,9,9
562,7,7
563,10,10
564,11,10
565,32,32
566,12,17
567,41,41
568,2,1
569,38,38
570,8,8
571,30,30
572,7,7
573,1,1
574,34,34
575,35,35
576,31,31
577,7,7
578,13,13
579,5,5
580,37,9
581,17,35
582,6,6
583,17,39
584,30,31
585,25,4
586,12,12
587,39,39
588,35,35
589,42,42
590,34,34
591,16,16
592,11,11
593,0,0
594,35,35
595,38,14
596,9,9
597,13,2
598,10,47
599,5,3
600,20,5
601,33,33
602,38,38
603,9,9
604,31,31
605,1,1
606,21,21
607,22,22
608,22,22
609,10,10
610,5,5
611,35,4
612,13,13
613,3,35
614,13,13
615,2,2
616,3,3
617,4,4
618,13,13
619,39,11
620,12,12
621,17,17
622,5,5
623,10,10
624,2,2
625,35,35
626,35,7
627,2,2
628,25,45
629,15,15
630,38,38
631,10,10
632,33,33
633,23,23
634,9,9
635,38,38
636,25,25
637,1,1
638,7,7
639,31,31
640,13,13
641,22,22
642,16,0
643,10,10
644,8,8
645,21,21
646,8,8
647,3,3
648,4,4
649,1,3
650,4,4
651,13,13
652,30,12
653,31,31
654,3,3
655,2,7
656,3,3
657,25,25
658,10,10
659,1,1
660,14,24
661,10,13
662,10,10
663,11,11
664,17,17
665,17,17
666,38,38
667,2,2
668,1,17
669,12,12
670,35,35
671,9,9
672,10,10
673,7,7
674,5,5
675,3,5
676,25,25
677,12,3
678,12,12
679,1,1
680,3,3
681,2,2
682,10,10
683,5,5
684,8,8
685,14,14
686,38,38
687,4,4
688,10,10
689,5,9
690,4,4
691,2,12
692,18,18
693,1,15
694,22,22
695,14,14
696,1,0
697,5,5
698,13,13
699,35,35
700,38,38
701,29,30
702,38,5
703,42,9
704,13,35
705,26,11
706,40,2
707,13,13
708,3,1
709,22,25
710,3,43
711,17,17
712,7,7
713,7,40
714,22,22
715,6,6
716,34,34
717,38,38
718,12,12
719,24,24
720,19,19
721,35,35
722,3,3
723,1,1
724,18,18
725,4,4
726,3,6
727,26,26
728,10,10
729,12,47
730,1,1
731,25,25
732,2,7
733,12,12
734,33,33
735,4,4
736,11,11
737,38,38
738,14,44
739,33,15
740,23,31
741,12,12
742,10,10
743,8,5
744,25,30
745,10,10
746,8,8
747,3,3
748,4,4
749,17,44
750,38,44
751,7,7
752,11,11
753,2,2
754,32,32
755,3,7
756,4,4
757,4,4
758,3,3
759,3,43
760,2,2
761,5,5
762,18,18
763,10,10
764,10,10
765,1,1
766,25,25
767,19,19
768,30,18
769,17,31
770,13,13
771,33,33
772,1,1
773,13,17
774,23,23
775,35,35
776,3,3
777,2,2
778,9,9
779,11,11
780,5,5
781,22,12
782,21,21
783,9,5
784,2,2
785,4,4
786,3,3
787,29,29
788,26,1
789,3,3
790,11,11
791,15,15
792,13,13
793,2,14
794,39,26
795,5,5
796,2,2
797,18,18
798,36,36
799,13,33
800,15,15
801,5,5
802,3,3
803,11,11
804,14,14
805,37,19
806,8,8
807,25,25
808,17,17
809,10,9
810,5,5
811,20,20
812,16,16
813,13,13
814,40,40
815,25,25
816,38,38
817,8,1
818,33,12
819,17,12
820,38,38
821,19,19
822,38,38
823,38,38
824,2,2
825,12,41
826,30,38
827,10,10
828,12,38
829,10,10
830,33,33
831,11,11
832,5,5
833,2,2
834,23,23
835,4,4
836,7,7
837,14,7
838,37,37
839,13,42
840,7,7
841,35,42
842,33,36
843,26,26
844,38,43
845,2,2
846,32,32
847,18,18
848,10,10
849,20,13
850,12,12
851,4,4
852,38,38
853,35,35
854,4,6
855,12,12
856,28,28
857,1,1
858,21,21
859,4,4
860,4,4
861,2,4
862,13,13
863,38,38
864,13,38
865,5,5
866,4,4
867,14,14
868,12,12
869,17,17
870,1,1
871,5,4
872,31,18
873,38,38
874,18,18
875,3,3
876,1,1
877,41,41
878,31,31
879,1,6
880,13,12
881,10,10
882,41,41
883,38,38
884,38,38
885,39,39
886,22,18
887,24,24
888,38,38
889,33,33
890,4,4
891,2,2
892,9,9
893,5,5
894,3,2
895,3,1
896,12,12
897,11,11
898,17,17
899,12,12
900,25,25
901,12,12
902,8,8
903,35,35
904,2,2
905,17,17
906,16,16
907,1,1
908,11,21
909,11,11
910,7,2
911,11,11
912,6,6
913,13,13
914,25,25
915,15,47
916,31,31
917,18,18
918,11,11
919,13,13
920,33,33
921,28,28
922,3,8
923,39,39
924,30,30
925,8,8
926,14,14
927,7,7
928,28,12
929,5,5
930,4,4
931,11,11
932,18,28
933,2,2
934,18,18
935,25,25
936,13,13
937,39,39
938,11,11
939,4,4
940,12,12
941,1,1
942,12,12
943,35,35
944,10,47
945,38,22
946,35,31
947,9,9
948,13,13
949,8,8
950,14,44
951,13,13
952,23,30
953,4,4
954,36,36
955,35,4
956,4,4
957,2,2
958,1,1
959,14,44
960,4,4
961,15,2
962,1,2
963,16,16
964,16,16
965,35,8
966,14,44
967,1,1
968,21,1
969,4,4
970,5,5
971,9,9
972,1,1
973,4,4
974,1,1
975,40,7
976,10,10
977,10,10
978,20,20
979,29,29
980,12,3
981,26,27
982,8,8
983,10,10
984,1,1
985,35,4
986,0,0
987,33,33
988,16,16
989,9,9
990,13,13
991,35,35
992,9,9
993,25,25
994,37,37
995,26,18
996,17,17
997,2,2
998,0,0
999,17,17
1000,15,15
1001,42,42
1002,9,9
1003,8,8
1004,10,10
1005,15,15
1006,40,38
1007,2,2
1008,15,15
1009,39,39
1010,13,1
1011,13,13
1012,42,42
1013,8,8
1014,28,28
1015,9,46
1016,9,9
1017,7,3
1018,12,12
1019,31,31
1020,5,5
1021,17,1
1022,1,1
1023,9,9
1024,25,25
1025,5,5
1026,13,13
1027,38,35
1028,38,38
1029,11,18
1030,16,16
1031,4,4
1032,4,4
1033,3,3
1034,35,7
1035,25,25
1036,6,6
1037,4,4
1038,13,13
1039,10,3
1040,21,21
1041,1,1
1042,1,1
1043,16,16
1044,31,31
1045,11,11
1046,1,1
1047,13,13
1048,3,3
1049,26,26
1050,12,12
1051,11,11
1052,11,15
1053,12,12
1054,30,30
1055,28,28
1056,4,44
1057,38,38
1058,10,10
1059,18,18
1060,2,2
1061,12,8
1062,3,9
1063,16,16
1064,9,9
1065,33,33
1066,13,13
1067,35,35
1068,12,12
1069,33,33
1070,4,4
1071,10,10
1072,13,13
1073,38,38
1074,5,5
1075,38,38
1076,38,38
1077,21,34
1078,11,11
1079,33,33
1080,7,7
1081,15,15
1082,39,26
1083,5,5
1084,10,7
1085,19,19
1086,21,21
1087,12,40
1088,12,12
1089,20,45
1090,34,38
1091,3,46
1092,31,21
1093,20,45
1094,38,38
1095,14,14
1096,2,2
1097,31,31
1098,18,18
1099,17,17
1100,2,2
1101,2,2
1102,12,12
1103,31,31
1104,17,17
1105,4,4
1106,10,8
1107,11,1
1108,10,10
1109,4,4
1110,17,17
1111,13,35
1112,13,44
1113,8,8
1114,35,35
1115,38,38
1116,3,3
1117,17,17
1118,38,38
1119,13,13
1120,9,9
1121,18,14
1122,17,17
1123,3,3
1124,11,11
1125,7,7
1126,2,2
1127,36,36
1128,10,13
1129,4,4
1130,10,46
1131,25,25
1132,12,12
1133,18,18
1134,1,1
1135,28,28
1136,17,17
1137,10,10
1138,35,35
1139,42,6
1140,7,7
1141,5,5
1142,38,38
1143,10,10
1144,4,4
1145,10,10
1146,17,17
1147,33,46
1148,28,28
1149,2,2
1150,42,42
1151,1,1
1152,13,13
1153,9,43
1154,3,3
1155,4,4
1156,10,5
1157,41,12
1158,15,15
1159,26,42
1160,17,17
1161,2,2
1162,2,2
1163,11,11
1164,20,30
1165,7,7
1166,7,7
1167,25,25
1168,26,26
1169,33,3
1170,10,10
1171,18,18
1172,10,8
1173,14,14
1174,32,32
1175,13,21
1176,2,2
1177,39,39
1178,17,17
1179,28,28
1180,12,10
1181,1,2
1182,2,2
1183,17,17
1184,28,20
1185,13,13
1186,25,25
1187,1,12
1188,17,18
1189,16,18
1190,11,11
1191,10,10
1192,23,23
1193,13,25
1194,5,7
1195,14,14
1196,13,13
1197,13,13
1198,28,28
1199,23,11
1200,38,38
1201,13,13
1202,12,12
1203,22,22
1204,10,10
1205,33,33
1206,1,1
1207,15,35
1208,34,34
1209,22,22
1210,7,7
1211,14,14
1212,12,12
1213,13,13
1214,4,4
1215,9,9
1216,13,13
1217,38,38
1218,38,38
1219,10,10
1220,1,2
1221,2,2
1222,5,5
1223,18,18
1224,35,33
1225,18,38
1226,10,10
1227,12,12
1228,3,3
1229,1,1
1230,10,10
1231,9,9
1232,8,8
1233,35,40
1234,11,11
1235,5,5
1236,23,23
1237,19,19
1238,1,1
1239,10,10
1240,40,46
1241,13,13
1242,13,13
1243,8,8
1244,18,7
1245,3,3
1246,31,45
1247,2,2
1248,1,1
1249,7,7
1250,13,13
1251,10,10
1252,28,28
1253,10,10
1254,9,40
1255,9,41
1256,38,41
1257,5,5
1258,14,14
1259,2,2
1260,2,2
1261,1,1
1262,2,8
1263,10,10
1264,2,2
1265,11,11
1266,33,46
1267,12,12
1268,18,4
1269,34,11
1270,3,2
1271,13,13
1272,21,21
1273,38,38
1274,11,11
1275,15,44
1276,35,35
1277,5,5
1278,5,5
1279,40,36
1280,12,12
1281,7,7
1282,25,25
1283,38,38
1284,8,8
1285,1,1
1286,13,13
1287,3,17
1288,25,25
1289,13,13
1290,16,16
1291,2,2
1292,5,5
1293,3,6
1294,6,5
1295,38,12
1296,13,13
1297,20,23
1298,17,13
1299,5,5
1300,42,42
1301,9,9
1302,15,15
1303,5,5
1304,10,10
1305,38,38
1306,12,12
1307,9,35
1308,10,10
1309,17,17
1310,10,1
1311,26,26
1312,2,2
1313,15,15
1314,39,39
1315,36,36
1316,11,11
1317,13,13
1318,4,4
1319,2,2
1320,10,10
1321,17,17
1322,4,17
1323,2,2
1324,38,38
1325,1,1
1326,9,9
1327,20,17
1328,42,44
1329,5,5
1330,2,2
1331,34,34
1332,8,8
1333,7,7
1334,6,7
1335,7,7
1336,31,31
1337,13,13
1338,1,1
1339,13,13
1340,37,37
1341,31,31
1342,26,26
1343,1,1
1344,17,17
1345,22,22
1346,13,13
1347,38,38
1348,38,46
1349,12,12
1350,33,33
1351,11,11
1352,10,10
1353,27,27
1354,10,10
1355,15,15
1356,5,5
1357,25,25
1358,30,4
1359,2,5
1360,38,38
1361,20,11
1362,3,3
1363,4,4
1364,20,45
1365,38,46
1366,13,13
1367,38,38
1368,18,18
1369,5,5
1370,9,9
1371,10,10
1372,5,7
1373,4,4
1374,5,6
1375,10,44
1376,42,42
1377,10,10
1378,18,12
1379,25,25
1380,2,2
1381,10,10
1382,2,2
1383,1,1
1384,18,18
1385,2,2
1386,20,20
1387,13,26
1388,2,2
1389,8,8
1390,38,38
1391,11,11
1392,11,11
1393,8,8
1394,38,36
1395,19,8
1396,13,13
1397,8,8
1398,32,9
1399,35,35
1400,26,26
1401,16,16
1402,13,13
1403,18,18
1404,21,27
1405,41,42
1406,9,9
1407,5,5
1408,4,4
1409,24,24
1410,3,4
1411,7,7
1412,11,11
1413,31,31
1414,8,8
1415,42,42
1416,9,9
1417,12,12
1418,14,14
1419,4,4
1420,12,12
1421,1,1
1422,12,12
1423,38,38
1424,13,13
1425,12,46
1426,25,18
1427,2,2
1428,13,13
1429,7,7
1430,18,8
1431,12,12
1432,25,25
1433,2,2
1434,3,3
1435,38,3
1436,35,35
1437,18,18
