Filename,ClassId,ClassIdActual
0,25,25
1,46,47
2,33,33
3,38,38
4,38,38
5,7,7
6,4,4
7,35,35
8,28,28
9,46,47
10,14,14
11,33,33
12,3,35
13,3,3
14,31,31
15,19,19
16,38,38
17,9,9
18,5,5
19,35,35
20,13,13
21,28,28
22,8,8
23,38,38
24,17,17
25,10,10
26,47,44
27,9,9
28,18,18
29,2,2
30,3,3
31,21,21
32,12,12
33,11,11
34,2,2
35,15,15
36,29,29
37,38,38
38,39,39
39,9,9
40,8,8
41,38,38
42,7,7
43,35,35
44,25,25
45,4,4
46,13,13
47,9,9
48,33,33
49,35,35
50,43,43
51,5,5
52,14,14
53,34,34
54,16,16
55,37,37
56,3,3
57,8,8
58,7,7
59,1,1
60,12,12
61,13,13
62,12,12
63,10,10
64,22,22
65,1,1
66,30,30
67,22,22
68,5,5
69,11,11
70,5,5
71,8,8
72,25,25
73,35,35
74,10,10
75,2,2
76,13,13
77,9,9
78,31,31
79,3,3
80,25,25
81,1,1
82,38,38
83,35,35
84,10,10
85,18,18
86,23,23
87,41,45
88,28,28
89,1,1
90,44,46
91,31,31
92,12,12
93,35,35
94,2,2
95,18,18
96,2,2
97,8,8
98,2,2
99,12,12
100,25,25
101,0,0
102,26,26
103,3,3
104,2,2
105,2,2
106,7,7
107,1,1
108,15,15
109,8,8
110,13,13
111,25,25
112,38,38
113,25,25
114,25,25
115,46,47
116,35,35
117,1,1
118,8,8
119,20,20
120,31,43
121,9,9
122,1,1
123,16,44
124,20,20
125,8,8
126,2,2
127,8,7
128,44,46
129,6,6
130,4,4
131,9,9
132,22,22
133,11,11
134,1,1
135,10,10
136,10,10
137,16,44
138,5,5
139,46,47
140,5,5
141,3,3
142,1,1
143,2,2
144,3,3
145,7,7
146,2,2
147,38,38
148,12,12
149,35,35
150,10,10
151,43,43
152,31,31
153,2,2
154,5,43
155,14,14
156,7,7
157,10,10
158,3,3
159,13,13
160,17,17
161,7,7
162,3,3
163,18,18
164,2,2
165,12,12
166,8,8
167,2,2
168,18,18
169,14,14
170,25,25
171,16,44
172,30,30
173,39,39
174,1,1
175,16,16
176,18,18
177,8,8
178,3,3
179,2,2
180,2,2
181,13,13
182,38,38
183,17,17
184,17,17
185,38,38
186,2,2
187,17,17
188,23,23
189,41,45
190,21,21
191,11,11
192,9,9
193,13,13
194,31,31
195,10,10
196,8,8
197,12,12
198,28,30
199,5,5
200,16,16
201,43,43
202,42,42
203,33,33
204,10,10
205,23,23
206,5,43
207,43,43
208,4,4
209,39,39
210,11,11
211,32,32
212,2,2
213,46,47
214,1,43
215,30,30
216,23,23
217,5,5
218,9,9
219,17,17
220,12,12
221,7,7
222,11,11
223,1,1
224,46,47
225,19,19
226,14,14
227,43,43
228,4,4
229,2,2
230,2,2
231,23,23
232,28,28
233,25,25
234,7,7
235,6,6
236,17,17
237,43,43
238,38,38
239,14,14
240,1,1
241,13,13
242,2,2
243,9,45
244,1,1
245,38,38
246,30,30
247,12,12
248,46,47
249,10,10
250,31,31
251,38,38
252,34,34
253,11,11
254,8,8
255,2,2
256,17,17
257,12,12
258,12,12
259,1,1
260,34,34
261,11,11
262,3,3
263,8,8
264,7,7
265,38,38
266,9,9
267,2,2
268,12,12
269,15,44
270,9,9
271,40,40
272,17,17
273,31,31
274,8,8
275,5,5
276,18,18
277,8,8
278,20,20
279,4,4
280,21,21
281,2,2
282,19,19
283,23,23
284,4,4
285,1,1
286,46,47
287,23,23
288,15,15
289,26,26
290,18,18
291,38,38
292,9,9
293,38,38
294,38,38
295,41,45
296,15,15
297,12,12
298,3,3
299,31,31
300,1,1
301,39,39
302,43,43
303,5,43
304,25,25
305,25,25
306,44,46
307,33,33
308,12,12
309,23,23
310,35,35
311,5,5
312,1,1
313,5,5
314,14,14
315,2,2
316,17,17
317,10,10
318,38,38
319,34,34
320,4,4
321,1,43
322,4,4
323,5,5
324,14,14
325,15,15
326,25,25
327,2,2
328,9,9
329,8,8
330,38,38
331,10,10
332,1,1
333,12,12
334,31,31
335,9,9
336,42,42
337,25,25
338,33,33
339,4,4
340,46,47
341,25,25
342,2,43
343,1,1
344,1,43
345,46,47
346,38,38
347,9,9
348,30,30
349,16,44
350,1,1
351,38,38
352,18,18
353,44,46
354,46,47
355,2,2
356,2,40
357,38,38
358,40,40
359,46,47
360,32,32
361,10,10
362,3,3
363,1,1
364,5,5
365,8,8
366,26,26
367,5,5
368,6,6
369,12,12
370,9,9
371,1,1
372,13,13
373,13,13
374,21,21
375,1,1
376,13,13
377,18,18
378,13,13
379,41,41
380,35,35
381,38,38
382,10,10
383,4,4
384,38,38
385,10,10
386,17,17
387,10,10
388,7,7
389,26,26
390,2,46
391,13,43
392,14,14
393,38,38
394,5,5
395,2,2
396,46,47
397,3,3
398,7,7
399,1,1
400,13,13
401,42,42
402,2,2
403,12,12
404,13,13
405,7,7
406,40,44
407,38,38
408,9,9
409,12,12
410,25,25
411,13,13
412,2,2
413,46,47
414,11,11
415,8,8
416,20,22
417,17,17
418,17,17
419,5,5
420,11,11
421,46,47
422,13,13
423,10,10
424,26,26
425,2,35
426,31,31
427,11,11
428,12,12
429,4,4
430,11,11
431,11,11
432,11,27
433,7,7
434,7,7
435,38,38
436,17,17
437,3,3
438,35,35
439,15,15
440,44,46
441,34,34
442,19,19
443,1,1
444,18,18
445,5,43
446,3,3
447,25,25
448,26,26
449,44,46
450,14,14
451,35,35
452,10,10
453,13,13
454,38,38
455,4,4
456,40,40
457,33,44
458,12,12
459,34,34
460,18,18
461,25,25
462,1,1
463,5,5
464,2,2
465,37,37
466,4,4
467,7,7
468,11,27
469,44,46
470,1,1
471,12,12
472,1,1
473,24,24
474,18,18
475,28,28
476,2,2
477,11,11
478,2,2
479,2,2
480,7,7
481,28,28
482,4,4
483,2,2
484,10,10
485,20,20
486,5,5
487,29,29
488,11,43
489,2,2
490,9,9
491,35,35
492,37,37
493,44,46
494,5,5
495,13,13
496,5,3
497,9,9
498,12,12
499,46,47
500,28,28
501,11,11
502,14,14
503,44,46
504,13,13
505,44,46
506,10,10
507,10,10
508,25,25
509,14,14
510,1,43
511,30,30
512,29,29
513,35,35
514,35,35
515,2,2
516,32,32
517,17,17
518,10,10
519,8,8
520,22,22
521,10,10
522,2,2
523,22,22
524,1,1
525,20,20
526,6,6
527,16,16
528,33,33
529,10,10
530,10,10
531,14,14
532,8,8
533,43,43
534,21,21
535,10,10
536,1,1
537,2,2
538,38,38
539,23,23
540,33,33
541,2,2
542,43,43
543,46,47
544,44,46
545,5,5
546,33,33
547,35,35
548,13,13
549,2,2
550,4,4
551,9,9
552,7,7
553,44,46
554,7,7
555,2,2
556,13,13
557,10,10
558,5,3
559,3,3
560,14,14
561,8,8
562,8,8
563,33,33
564,4,4
565,5,5
566,12,13
567,46,47
568,26,25
569,1,1
570,31,31
571,2,2
572,13,13
573,46,47
574,2,2
575,13,13
576,28,28
577,8,8
578,25,25
579,9,9
580,10,10
581,9,9
582,10,43
583,7,7
584,11,11
585,32,45
586,10,10
587,44,46
588,8,8
589,25,25
590,17,17
591,2,45
592,12,12
593,25,25
594,35,35
595,43,43
596,11,11
597,3,3
598,38,38
599,20,20
600,24,24
601,3,3
602,14,14
603,46,47
604,16,16
605,12,12
606,46,47
607,35,35
608,8,8
609,4,4
610,25,25
611,6,6
612,3,3
613,2,2
614,4,4
615,16,44
616,25,25
617,43,43
618,26,26
619,11,11
620,5,5
621,44,46
622,25,25
623,5,5
624,31,31
625,26,26
626,13,13
627,11,11
628,12,12
629,1,1
630,3,3
631,1,1
632,13,13
633,4,4
634,42,42
635,12,12
636,1,43
637,36,36
638,34,34
639,43,43
640,5,5
641,11,11
642,1,1
643,5,5
644,34,34
645,15,15
646,12,12
647,1,1
648,41,41
649,1,1
650,3,3
651,2,2
652,19,43
653,25,25
654,5,5
655,33,33
656,2,44
657,10,10
658,10,10
659,32,32
660,37,37
661,10,10
662,35,35
663,14,14
664,26,26
665,11,11
666,3,3
667,30,30
668,7,7
669,30,30
670,44,46
671,35,35
672,13,13
673,34,34
674,8,8
675,6,6
676,38,38
677,34,34
678,35,35
679,13,13
680,31,31
