Filename,ClassId,ClassIdActual
0,16,16
1,1,1
2,38,38
3,33,33
4,11,11
5,38,38
6,18,18
7,12,12
8,25,25
9,35,35
10,12,12
11,7,7
12,23,23
13,7,7
14,4,4
15,9,9
16,21,21
17,20,20
18,27,27
19,38,38
20,4,4
21,33,33
22,9,9
23,3,3
24,1,1
25,11,11
26,13,13
27,10,10
28,9,9
29,11,11
30,5,5
31,17,17
32,34,34
33,23,23
34,2,2
35,17,17
36,3,3
37,12,12
38,16,16
39,8,8
40,7,7
41,30,30
42,18,18
43,12,12
44,24,24
45,25,25
46,3,3
47,10,10
48,18,18
49,8,8
50,25,25
51,13,13
52,15,15
53,9,9
54,13,13
55,35,35
56,5,5
57,26,26
58,9,9
59,16,16
60,38,38
61,10,10
62,4,4
63,9,9
64,15,15
65,9,9
66,26,26
67,2,2
68,5,5
69,28,28
70,11,11
71,25,25
72,30,30
73,34,34
74,5,5
75,12,12
76,1,1
77,10,10
78,25,25
79,25,25
80,21,21
81,33,33
82,25,25
83,7,7
84,10,10
85,35,35
86,3,3
87,7,7
88,22,22
89,13,13
90,3,3
91,1,1
92,2,2
93,14,14
94,12,12
95,32,32
96,3,3
97,38,38
98,9,9
99,33,33
100,1,1
101,10,10
102,5,5
103,11,11
104,33,33
105,4,4
106,35,35
107,25,25
108,33,33
109,4,4
110,1,1
111,14,14
112,16,16
113,10,10
114,23,30
115,3,3
116,27,27
117,29,29
118,1,1
119,17,17
120,13,13
121,7,7
122,1,1
123,8,8
124,2,2
125,10,10
126,10,10
127,20,30
128,1,1
129,6,6
130,36,36
131,3,3
132,14,14
133,13,13
134,11,11
135,10,10
136,18,18
137,40,40
138,2,2
139,38,38
140,41,41
141,4,4
142,6,6
143,18,18
144,17,17
145,25,25
146,2,2
147,9,41
148,11,11
149,21,21
150,7,7
151,24,24
152,11,11
153,25,25
154,17,17
155,3,3
156,6,6
157,9,9
158,7,7
159,4,4
160,13,13
161,16,16
162,4,4
163,25,25
164,18,18
165,9,9
166,13,13
167,14,14
168,29,29
169,17,17
170,13,13
171,38,38
172,26,26
173,25,25
174,33,33
175,1,1
176,3,3
177,40,40
178,13,13
179,2,2
180,8,8
181,4,4
182,36,36
183,25,25
184,20,20
185,25,25
186,18,18
187,1,1
188,10,10
189,8,8
190,10,10
191,29,29
192,12,12
193,38,38
194,31,31
195,2,2
196,8,8
197,38,38
198,18,18
199,28,28
200,17,17
201,9,9
202,4,4
203,1,1
204,17,17
205,9,9
206,2,2
207,31,31
208,13,13
209,15,15
210,15,15
211,38,38
212,25,25
213,5,5
214,25,25
215,13,13
216,10,10
217,5,5
218,4,4
219,10,10
220,2,2
221,4,4
222,5,5
223,1,1
224,14,14
225,12,12
226,12,12
227,5,5
228,8,8
229,36,36
230,25,25
231,13,13
232,33,33
233,18,18
234,33,33
235,19,19
236,12,12
237,30,30
238,4,4
239,18,18
240,12,12
241,13,13
242,20,20
243,0,0
244,10,10
245,40,40
246,5,5
247,8,8
248,12,12
249,38,38
250,20,20
251,14,14
252,0,0
253,36,36
254,34,34
255,28,28
256,35,35
257,13,13
258,25,25
259,15,15
260,35,35
261,14,14
262,18,18
263,25,25
264,1,1
265,12,12
266,5,5
267,25,25
268,2,2
269,18,18
270,11,18
271,18,18
272,34,34
273,9,9
274,25,25
275,18,18
276,34,34
277,39,39
278,31,31
279,1,1
280,9,9
281,35,35
282,31,31
283,26,26
284,1,1
285,1,1
286,33,33
287,30,30
288,17,17
289,13,13
290,1,1
291,31,31
292,13,13
293,35,35
294,5,5
295,1,1
296,33,33
297,28,28
298,35,35
299,26,26
300,12,12
301,5,5
302,2,2
303,14,14
304,4,4
305,3,3
306,32,32
307,1,1
308,7,7
309,2,38
310,19,19
311,11,11
312,38,38
313,38,38
314,1,1
315,42,42
316,2,2
317,40,40
318,17,17
319,4,4
320,8,8
321,4,4
322,5,5
323,6,6
324,31,31
325,35,35
326,9,9
327,38,38
328,8,8
329,2,2
330,4,4
331,18,18
332,3,3
333,25,25
334,10,10
335,5,6
336,7,7
337,34,34
338,4,4
339,22,22
340,10,10
341,29,29
342,9,9
343,2,2
344,38,38
345,38,38
346,18,18
347,7,7
348,13,13
349,28,28
350,17,17
351,2,2
352,16,16
353,14,14
354,12,12
355,7,40
356,35,35
357,3,3
358,38,38
359,10,10
360,9,9
361,38,38
362,13,13
363,39,39
364,3,3
365,11,11
366,7,7
367,38,38
368,19,19
369,13,13
370,10,10
371,18,18
372,3,3
373,5,5
374,25,26
375,1,1
376,41,41
377,13,13
378,1,1
379,18,18
380,19,19
381,13,13
382,38,38
383,4,4
384,35,35
385,25,25
386,34,34
387,12,12
388,17,17
389,9,9
390,4,4
391,33,33
392,28,28
393,2,2
394,1,1
395,5,5
396,4,4
397,38,38
398,4,4
399,12,12
400,38,38
401,36,36
402,10,10
403,0,0
404,38,38
405,36,36
406,8,8
407,25,25
408,5,5
409,2,2
410,25,25
411,14,14
412,2,2
413,26,26
414,29,29
415,10,10
416,10,10
417,14,14
418,9,9
419,2,2
420,3,3
421,4,4
422,19,19
423,9,9
424,10,10
425,13,13
426,13,13
427,20,20
428,38,38
429,34,34
430,11,11
431,13,13
432,34,34
433,34,34
434,12,12
435,6,6
436,10,10
437,10,10
438,8,8
439,3,3
440,22,22
441,17,17
442,7,7
443,30,30
444,25,25
445,1,1
446,31,31
447,38,38
448,38,38
449,8,8
450,9,9
451,10,10
452,2,2
453,40,40
454,1,1
455,38,38
456,14,14
457,8,8
458,39,39
459,6,6
460,35,35
461,25,25
462,25,25
463,17,17
464,2,2
465,38,38
466,7,7
467,13,13
468,14,14
469,7,7
470,8,8
471,35,35
472,3,3
473,1,1
474,35,35
475,12,12
476,35,35
477,36,36
478,24,24
479,13,13
480,33,33
481,2,2
482,35,35
483,6,6
484,2,2
485,10,10
486,12,12
487,31,31
488,9,9
489,14,14
490,17,17
491,18,26
492,7,4
493,3,3
494,10,10
495,5,5
496,11,30
497,9,9
498,31,31
499,12,40
500,22,22
501,30,30
502,9,9
503,7,7
504,23,23
505,4,4
506,32,32
507,42,42
508,1,1
509,3,3
510,8,8
511,2,2
512,25,25
513,22,22
514,38,38
515,33,33
516,3,3
517,1,1
518,8,8
519,4,4
520,18,18
521,26,26
522,31,31
523,14,14
524,11,11
525,13,13
526,3,3
527,5,5
528,18,18
529,4,4
530,13,13
531,15,15
532,23,23
533,1,1
534,12,12
535,31,31
536,38,38
537,6,6
538,10,10
539,35,35
540,8,8
541,6,6
542,5,5
543,12,12
544,4,4
545,1,1
546,1,1
547,1,1
548,12,12
549,12,12
550,5,4
551,5,5
552,9,9
553,13,13
554,38,38
555,4,4
556,13,13
557,8,8
558,13,13
559,24,24
560,17,17
561,10,10
562,10,10
563,18,18
564,12,12
565,23,23
566,10,10
567,10,10
568,1,1
569,23,23
570,3,3
571,8,8
572,41,41
573,6,6
574,13,13
575,33,33
576,3,3
577,2,2
578,13,13
579,0,0
580,17,17
581,10,10
582,7,7
583,1,1
584,35,35
585,10,10
586,2,2
587,30,30
588,5,5
589,5,5
590,35,35
591,13,13
592,16,16
593,17,17
594,11,11
595,3,3
596,4,4
597,29,29
598,2,2
599,26,26
600,2,2
601,11,11
602,4,4
603,19,19
604,3,3
605,9,9
606,7,7
607,38,38
608,28,28
609,9,9
610,27,27
611,41,41
612,1,1
613,29,29
614,11,11
615,10,10
616,25,25
617,1,1
618,10,10
619,38,38
620,30,30
621,14,14
622,1,1
623,12,12
624,7,7
625,13,13
626,28,28
627,8,8
628,2,2
629,17,17
630,5,5
631,35,35
632,25,25
633,8,8
634,4,4
635,7,7
636,16,16
637,31,29
638,17,17
639,9,9
640,7,7
641,8,8
642,17,17
643,11,11
644,2,2
645,13,13
646,12,12
647,7,7
648,1,1
649,2,2
650,32,32
651,17,17
652,13,13
653,5,5
654,12,12
655,11,11
656,29,29
657,13,13
658,13,13
659,10,10
660,5,5
661,13,13
662,2,2
663,7,7
664,13,13
665,10,10
666,14,14
667,13,13
668,11,11
669,4,4
670,15,15
671,10,10
672,36,36
673,35,35
674,26,26
675,0,0
676,25,25
677,18,18
678,29,29
679,8,8
680,13,13
681,14,14
682,35,35
683,12,12
684,35,35
685,35,35
686,14,14
687,25,25
688,17,17
689,34,34
690,5,5
691,4,4
692,4,4
693,13,13
694,29,29
695,4,4
696,5,5
697,8,8
698,1,1
699,2,2
700,3,3
701,4,4
702,39,39
703,12,12
704,7,7
705,16,16
706,12,12
707,12,12
